Area,Issue,Spec affected,Effort,Mockup (Y/N),Notes,Status
Font Loading Strategy Details Missing,How exactly are fonts loaded in preview/export? CSS @font-face? Web Font Loader?,font-handling-spec.md,High,N,,To do
Font Loading Strategy Details Missing,No mention of CORS handling for external URLs,font-handling-spec.md,High,N,,To do
Font Loading Strategy Details Missing,Missing font loading timeout strategies,font-handling-spec.md,Medium,N,,To do
Font Loading Strategy Details Missing,"No guidance on font display behavior (swap, fallback, block)",font-handling-spec.md,Medium,N,,To do
Storage Architecture Unclear,How are uploaded fonts stored in Supabase? File storage? Base64 in database?,font-handling-spec.md,High,N,,To do
Storage Architecture Unclear,No file size limits specified for uploads,font-handling-spec.md,Medium,N,,To do
Storage Architecture Unclear,Missing font file validation beyond file extension,font-handling-spec.md,Medium,N,,To do
Performance Considerations Underspecified,No mention of font preloading strategies,font-handling-spec.md,Medium,N,,To do
Performance Considerations Underspecified,Missing font subsetting considerations,font-handling-spec.md,Medium,N,,To do
Performance Considerations Underspecified,No guidance on font file optimization,font-handling-spec.md,Medium,N,,To do
User Experience Gaps,How do Template Editors preview fonts before assignment?,font-handling-spec.md,Medium,Y,,To do
User Experience Gaps,No mention of font loading indicators,font-handling-spec.md,Medium,Y,,To do
User Experience Gaps,Missing error messaging for font failures,font-handling-spec.md,Medium,Y,,To do
Font Loading Strategy Details Missing,How to implement Google Fonts,font-handling-spec.md,High,N,,To do
Font Loading Strategy Details Missing,Add Robust Fallback Strategy,font-handling-spec.md,Medium,N,,To do
Font Loading Strategy Details Missing,Font Loading Detection,font-handling-spec.md,High,N,,To do
Font Loading Strategy Details Missing,Font Storage Strategy,font-handling-spec.md,High,N,,To do
Template Conflict Resolution,"When a Contributor has manual formatting and switches templates, what's the exact behavior?",template-system-spec.md,Medium,Y,,To do
Template Conflict Resolution,How do we handle edge cases like custom font sizes that don't exist in the new template?,template-system-spec.md,Medium,N,,To do
Template Conflict Resolution,Should we show a diff or warning when template switches would dramatically change appearance?,template-system-spec.md,High,Y,,To do
Document Structure & Smart Style Inference,The smart style inference spec mentions AI classification - is this truly needed for MVP?,smart-style-inference-spec.md,Critical,N,,To do
Document Structure & Smart Style Inference,Can we achieve good results with just heuristic detection initially?,smart-style-inference-spec.md,Critical,N,,To do
Document Structure & Smart Style Inference,How do we handle ambiguous content that could be either a heading or emphasized paragraph?,smart-style-inference-spec.md,Critical,N,,To do
Role Switching & Context,"When Template Editors switch between creating templates and writing documents, how do we maintain context?",roles-and-permissions.md,Medium,N,,To do
Role Switching & Context,Should we save drafts separately for each role context?,roles-and-permissions.md,High,N,,To do
Role Switching & Context,How do we handle notifications and recent items across role contexts?,roles-and-permissions.md,Medium,N,,To do
Guest Mode Limitations,The guest journey mentions 20-minute sessions - is this enough for meaningful demos?,guest-role-emulation-spec.md,Low,N,,To do
Guest Mode Limitations,"Should guests be able to export/save anything, or is it purely exploratory?",guest-role-emulation-spec.md,Medium,N,,To do
Guest Mode Limitations,How do we convert engaged guests to paid users effectively?,guest-role-emulation-spec.md,Medium,N,,To do
Feature Completeness,The reusable toolbar spec lists many 'Coming Soon' features - might this make MVP feel incomplete?,reusable-toolbar-spec.md,Medium,Y,,To do
Feature Completeness,Should we hide unimplemented features entirely or show them as planned?,reusable-toolbar-spec.md,Low,N,,To do
Feature Completeness,What's the minimum feature set that still delivers the core value proposition?,reusable-toolbar-spec.md,High,N,,To do
Success Metrics,How will we measure if the 'separation of concerns' philosophy actually works?,product-vision.md,High,N,,To do
Success Metrics,What metrics indicate Template Editors are successfully creating usable templates?,template-system-spec.md,Medium,N,,To do
Success Metrics,How do we know Contributors aren't frustrated by the formatting limitations?,contributor-template-behavior-spec.md,Medium,N,,To do
Guest Role Implementation,"Make Simpler: Toggle demo mode in localStorage, load mock data, disable save/export, show 'Demo Mode' indicator, reset on refresh",guest-role-emulation-spec.md,Critical,N,,To do
Tiptap Editor,Specify Tiptap version and enumerate all required extensions,editor-spec.md,High,N,"Must include custom, third-party, and MVP-only extensions in spec",To do
