File,Title,Short Description,Needs Update?,Reason or Action Needed
deployment-manual.md,Mylo Deployment Manual,"This document outlines the steps required to deploy the Mylo application in a local, staging, or production environment.",✅,Consider adding preview performance notes or future enhancements
README.md,Untitled,This folder contains deprecated or replaced specifications.,❌,No major content dependency
starter-kit-spec-organization-standard.md,Mylo Starter Kit — Specification Organization Standard,"All official Mylo Starter Kit specifications must follow the structure defined below. This ensures consistency, clarity, and efficient onboarding for anyone contributing to Mylo documentation or feature development.",❌,No major content dependency
template-sets-risks.md,template-sets-risks – Risks & Mitigations,See `template-sets-risks.md` for implementation details.,❌,No major content dependency
font-handling-risks.md,font-handling-risks – Risks & Mitigations,See `font-handling-risks.md` for implementation details.,❌,No major content dependency
smart-style-inference-risks.md,Smart Style Inference – Risks & Mitigations (MVP Scope),See `smart-style-inference-spec.md` for implementation details.,✅,Check AI vs heuristic handling
zoom-functionality-risks.md,zoom-functionality-risks – Risks & Mitigations,See `zoom-functionality-risks.md` for implementation details.,❌,No major content dependency
editor-preview-split-zoom-risks.md,editor-preview-split-zoom-risks – Risks & Mitigations,See `editor-preview-split-zoom-risks.md` for implementation details.,✅,Consider adding preview performance notes or future enhancements
reusable-toolbar-risks.md,reusable-toolbar-risks – Risks & Mitigations,See `reusable-toolbar-risks.md` for implementation details.,❌,No major content dependency
document-versioning-risks.md,document-versioning-risks – Risks & Mitigations,See `document-versioning-risks.md` for implementation details.,❌,No major content dependency
local-save-export-risks.md,local-save-export-risks – Risks & Mitigations,See `local-save-export-risks.md` for implementation details.,❌,No major content dependency
contributor-template-risks.md,Contributor Template Behavior – Risks & Mitigations,See `contributor-template-behavior-spec.md` for usage behavior and toolbar details.,✅,Consider adding preview performance notes or future enhancements
style-settings-modal-risks.md,style-settings-modal-risks – Risks & Mitigations,See `style-settings-modal-risks.md` for implementation details.,❌,No major content dependency
template-thumbnail-generation-risks.md,Thumbnail Creation for Templates — Risks & Mitigations,This document outlines potential risks associated with the Thumbnail Creation feature in Mylo and proposes mitigation strategies for each.,✅,Add rationale about Template Editors being designers using Figma/InDesign
template-settings-risks.md,template-settings-risks – Risks & Mitigations,See `template-settings-risks.md` for implementation details.,❌,No major content dependency
undo-redo-risks.md,undo-redo-risks – Risks & Mitigations,See `undo-redo-risks.md` for implementation details.,❌,No major content dependency
smart-style-inference-spec.md,Smart Style Inference System (Hybrid Heuristic + AI Classification),"Automatically determine whether text is a heading, subhead, paragraph, etc., even if the Contributor does not explicitly label it — so that the Preview can apply the correct styles from the active Template.",✅,Check AI vs heuristic handling
font-handling-spec.md,Mylo Font Handling Specification v2.0 — June 2025,---,✅,Add rationale about Template Editors being designers using Figma/InDesign
guest-role-emulation-spec.md,Mylo Guest Role Emulation Specification,> **Archived Spec**,✅,Add rationale about Template Editors being designers using Figma/InDesign
contributor-template-behavior-spec.md,Contributor Behavior With and Without Templates,"Contributors write freely using a toolbar with formatting tools. They can choose whether or not to use a Template. Templates enable auto-formatting in the Preview panel, while freeform mode allows their own formatting to persist.",✅,Check AI vs heuristic handling
authentication-spec.md,Mylo Authentication System Specification (MVP),This document defines the authentication and user session management system for Mylo MVP.,✅,Add rationale about Template Editors being designers using Figma/InDesign
zoom-functionality-spec.md,Mylo Zoom Functionality Specification,"Zoom enables users to adjust the canvas scale for readability and design precision. This spec covers the behavior for Contributors and Template Editors, with Admins inheriting both.",✅,Add rationale about Template Editors being designers using Figma/InDesign
local-save-export-spec.md,Mylo Local Save & Export Specification,"This specification details the process and functionality for local saving, reopening, and exporting documents in Mylo. It ensures offline accessibility, flexible sharing, and backup options for Contributors and Template Editors.",✅,Add rationale about Template Editors being designers using Figma/InDesign
template-settings-spec.md,Mylo Template Settings Specification,Template Settings define the global design defaults every document starts with. Individual documents can override these via the Style Settings modal.,✅,Add rationale about Template Editors being designers using Figma/InDesign
style-settings-modal-spec.md,Mylo Style Settings Modal Specification,"This specification defines the behavior, layout, and controls of the Style Settings modal, which lets users configure typography, lists, lines, and hyphenation. Tabs appear in the fixed order: Typography → Lists → Lines → Hyphenation. Hyphenation is least-used and can also be set globally in template settings.",✅,Consider adding preview performance notes or future enhancements
template-system-spec.md,Template System Specification,"This document defines how the **Template System** works in Mylo, including both **Template Settings** and **Template Styles**, and explains their interactions.",✅,Add rationale about Template Editors being designers using Figma/InDesign
template-editor-sample-content.md,Template Editor Sample Content Specification,"This document defines how sample content is used within the Template Editor in Mylo. It outlines how content is inserted, stored, and rendered — ensuring it supports design testing while remaining hidden from Contributors.",✅,Add rationale about Template Editors being designers using Figma/InDesign
contributor-template-behavior-spec-v2.md,Contributor Behavior With and Without Templates — v2.0,"Contributors write freely using a toolbar with formatting tools. They can choose whether or not to use a Template. Templates enable auto-formatting in the Preview panel, while freeform mode allows their own formatting to persist.",✅,Check AI vs heuristic handling
reusable-toolbar-components-spec.md,Mylo Reusable Toolbar Components Specification,"This specification outlines the creation of reusable toolbar buttons for Mylo, focusing on maximizing code reuse, improving maintainability, and ensuring consistency across the Contributor, Template Editor, and Admin roles.",✅,Add rationale about Template Editors being designers using Figma/InDesign
top-menu-behavior-mvp.md,Top Menu Behavior Specification,This document defines the structure and functionality of the Top Menu Bar in Mylo. It outlines which menu items are active during the MVP and which are deferred for future implementation.,✅,Add rationale about Template Editors being designers using Figma/InDesign
template-thumbnail-generation.md,Thumbnail Creation for Templates,"This document defines the behavior, triggers, and technical handling of template thumbnail generation in Mylo.",✅,Add rationale about Template Editors being designers using Figma/InDesign
font-size-controls-spec.md,Font Size Controls Specification,This document defines the behavior of font size adjustment controls for Contributors and Template Editors in the Mylo Editor.,✅,Add rationale about Template Editors being designers using Figma/InDesign
trash-management-spec.md,Trash Management Specification,"This document defines the structure and behavior of the Trash system in Mylo. It outlines how deleted items are surfaced, filtered, and managed across roles and item types.",❌,No major content dependency
navigation-and-default-views-spec-v2.md,Navigation and Default Views Specification,This document defines the role-based navigation system and default landing views for each role in Mylo. It replaces the previous generalized concept of a “Dashboard.”,✅,Add rationale about Template Editors being designers using Figma/InDesign
editor-and-preview-spec.md,Editor and Preview Panel Specification,"This document defines the functionality, behavior, and structure of the **Editor** and **Preview** panels in Mylo.",✅,Consider adding preview performance notes or future enhancements
dashboard-navigation-spec.md,Dashboard and Navigation Specification,This document defines the Dashboard layout and Navigation system for Mylo.,✅,Add rationale about Template Editors being designers using Figma/InDesign
breadcrumbs-behavior-spec.md,Untitled,"- Breadcrumbs appear when the user is **browsing within a folder**, such as ""Marketing"" in Documents, ""Proposals"" in Templates, or a single-level team name in Admin views.",✅,Consider adding preview performance notes or future enhancements
template-sets-spec.md,Mylo Template Sets (MVP) Specification,Template Sets help organize and control the visibility of branded templates within an organization. They simplify template management and ensure the right templates are available to the right users.,✅,Add rationale about Template Editors being designers using Figma/InDesign
