,Area,Task,Owner,Priority,Status,Spec Affected,Details
0,Mylo Deployment Manual,"This document outlines the steps required to deploy the Mylo application in a local, staging, or production environment.",,,,deployment-manual.md,Consider adding preview performance notes or future enhancements
5,Smart Style Inference – Risks & Mitigations (MVP Scope),See `smart-style-inference-spec.md` for implementation details.,,,,smart-style-inference-risks.md,Check AI vs heuristic handling
7,editor-preview-split-zoom-risks – Risks & Mitigations,See `editor-preview-split-zoom-risks.md` for implementation details.,,,,editor-preview-split-zoom-risks.md,Consider adding preview performance notes or future enhancements
11,Contributor Template Behavior – Risks & Mitigations,See `contributor-template-behavior-spec.md` for usage behavior and toolbar details.,,,,contributor-template-risks.md,Consider adding preview performance notes or future enhancements
13,Thumbnail Creation for Templates — Risks & Mitigations,This document outlines potential risks associated with the Thumbnail Creation feature in Mylo and proposes mitigation strategies for each.,,,,template-thumbnail-generation-risks.md,Add rationale about Template Editors being designers using Figma/InDesign
16,Smart Style Inference System (Hybrid Heuristic + AI Classification),"Automatically determine whether text is a heading, subhead, paragraph, etc., even if the Contributor does not explicitly label it — so that the Preview can apply the correct styles from the active Template.",,,,smart-style-inference-spec.md,Check AI vs heuristic handling
17,Mylo Font Handling Specification v2.0 — June 2025,---,,,,font-handling-spec.md,Add rationale about Template Editors being designers using Figma/InDesign
18,Mylo Guest Role Emulation Specification,> **Archived Spec**,,,,guest-role-emulation-spec.md,Add rationale about Template Editors being designers using Figma/InDesign
19,Contributor Behavior With and Without Templates,"Contributors write freely using a toolbar with formatting tools. They can choose whether or not to use a Template. Templates enable auto-formatting in the Preview panel, while freeform mode allows their own formatting to persist.",,,,contributor-template-behavior-spec.md,Check AI vs heuristic handling
20,Mylo Authentication System Specification (MVP),This document defines the authentication and user session management system for Mylo MVP.,,,,authentication-spec.md,Add rationale about Template Editors being designers using Figma/InDesign
21,Mylo Zoom Functionality Specification,"Zoom enables users to adjust the canvas scale for readability and design precision. This spec covers the behavior for Contributors and Template Editors, with Admins inheriting both.",,,,zoom-functionality-spec.md,Add rationale about Template Editors being designers using Figma/InDesign
22,Mylo Local Save & Export Specification,"This specification details the process and functionality for local saving, reopening, and exporting documents in Mylo. It ensures offline accessibility, flexible sharing, and backup options for Contributors and Template Editors.",,,,local-save-export-spec.md,Add rationale about Template Editors being designers using Figma/InDesign
23,Mylo Template Settings Specification,Template Settings define the global design defaults every document starts with. Individual documents can override these via the Style Settings modal.,,,,template-settings-spec.md,Add rationale about Template Editors being designers using Figma/InDesign
24,Mylo Style Settings Modal Specification,"This specification defines the behavior, layout, and controls of the Style Settings modal, which lets users configure typography, lists, lines, and hyphenation. Tabs appear in the fixed order: Typography → Lists → Lines → Hyphenation. Hyphenation is least-used and can also be set globally in template settings.",,,,style-settings-modal-spec.md,Consider adding preview performance notes or future enhancements
25,Template System Specification,"This document defines how the **Template System** works in Mylo, including both **Template Settings** and **Template Styles**, and explains their interactions.",,,,template-system-spec.md,Add rationale about Template Editors being designers using Figma/InDesign
26,Template Editor Sample Content Specification,"This document defines how sample content is used within the Template Editor in Mylo. It outlines how content is inserted, stored, and rendered — ensuring it supports design testing while remaining hidden from Contributors.",,,,template-editor-sample-content.md,Add rationale about Template Editors being designers using Figma/InDesign
27,Contributor Behavior With and Without Templates — v2.0,"Contributors write freely using a toolbar with formatting tools. They can choose whether or not to use a Template. Templates enable auto-formatting in the Preview panel, while freeform mode allows their own formatting to persist.",,,,contributor-template-behavior-spec-v2.md,Check AI vs heuristic handling
28,Mylo Reusable Toolbar Components Specification,"This specification outlines the creation of reusable toolbar buttons for Mylo, focusing on maximizing code reuse, improving maintainability, and ensuring consistency across the Contributor, Template Editor, and Admin roles.",,,,reusable-toolbar-components-spec.md,Add rationale about Template Editors being designers using Figma/InDesign
29,Top Menu Behavior Specification,This document defines the structure and functionality of the Top Menu Bar in Mylo. It outlines which menu items are active during the MVP and which are deferred for future implementation.,,,,top-menu-behavior-mvp.md,Add rationale about Template Editors being designers using Figma/InDesign
30,Thumbnail Creation for Templates,"This document defines the behavior, triggers, and technical handling of template thumbnail generation in Mylo.",,,,template-thumbnail-generation.md,Add rationale about Template Editors being designers using Figma/InDesign
31,Font Size Controls Specification,This document defines the behavior of font size adjustment controls for Contributors and Template Editors in the Mylo Editor.,,,,font-size-controls-spec.md,Add rationale about Template Editors being designers using Figma/InDesign
33,Navigation and Default Views Specification,This document defines the role-based navigation system and default landing views for each role in Mylo. It replaces the previous generalized concept of a “Dashboard.”,,,,navigation-and-default-views-spec-v2.md,Add rationale about Template Editors being designers using Figma/InDesign
34,Editor and Preview Panel Specification,"This document defines the functionality, behavior, and structure of the **Editor** and **Preview** panels in Mylo.",,,,editor-and-preview-spec.md,Consider adding preview performance notes or future enhancements
35,Dashboard and Navigation Specification,This document defines the Dashboard layout and Navigation system for Mylo.,,,,dashboard-navigation-spec.md,Add rationale about Template Editors being designers using Figma/InDesign
