Area,Task,Spec Affected,Details,Mockup,Effort,Status
Deployment,"This document outlines the steps required to deploy the Mylo application in a local, staging, or production environment.",deployment-manual.md,Consider adding preview performance notes or future enhancements,Y,Medium,
Style Inference,See `smart-style-inference-spec.md` for implementation details.,smart-style-inference-risks.md,Check AI vs heuristic handling,N,Medium,
Editor & Preview,See `editor-preview-split-zoom-risks.md` for implementation details.,editor-preview-split-zoom-risks.md,Consider adding preview performance notes or future enhancements,Y,Medium,
Contributor Behavior,See `contributor-template-behavior-spec.md` for usage behavior and toolbar details.,contributor-template-risks.md,Consider adding preview performance notes or future enhancements,Y,Medium,
Template System,This document outlines potential risks associated with the Thumbnail Creation feature in Mylo and proposes mitigation strategies for each.,template-thumbnail-generation-risks.md,Add rationale about Template Editors being designers using Figma/InDesign,Y,Low,
Style Inference,"Automatically determine whether text is a heading, subhead, paragraph, etc., even if the Contributor does not explicitly label it — so that the Preview can apply the correct styles from the active Template.",smart-style-inference-spec.md,Check AI vs heuristic handling,Y,Medium,
Font Handling,---,font-handling-spec.md,Add rationale about Template Editors being designers using Figma/InDesign,Y,Low,
TBD,> **Archived Spec**,guest-role-emulation-spec.md,Add rationale about Template Editors being designers using Figma/InDesign,Y,Low,
Contributor Behavior,"Contributors write freely using a toolbar with formatting tools. They can choose whether or not to use a Template. Templates enable auto-formatting in the Preview panel, while freeform mode allows their own formatting to persist.",contributor-template-behavior-spec.md,Check AI vs heuristic handling,Y,Medium,
TBD,This document defines the authentication and user session management system for Mylo MVP.,authentication-spec.md,Add rationale about Template Editors being designers using Figma/InDesign,Y,Low,
TBD,"Zoom enables users to adjust the canvas scale for readability and design precision. This spec covers the behavior for Contributors and Template Editors, with Admins inheriting both.",zoom-functionality-spec.md,Add rationale about Template Editors being designers using Figma/InDesign,Y,Low,
TBD,"This specification details the process and functionality for local saving, reopening, and exporting documents in Mylo. It ensures offline accessibility, flexible sharing, and backup options for Contributors and Template Editors.",local-save-export-spec.md,Add rationale about Template Editors being designers using Figma/InDesign,Y,Low,
TBD,Template Settings define the global design defaults every document starts with. Individual documents can override these via the Style Settings modal.,template-settings-spec.md,Add rationale about Template Editors being designers using Figma/InDesign,Y,Low,
TBD,"This specification defines the behavior, layout, and controls of the Style Settings modal, which lets users configure typography, lists, lines, and hyphenation. Tabs appear in the fixed order: Typography → Lists → Lines → Hyphenation. Hyphenation is least-used and can also be set globally in template settings.",style-settings-modal-spec.md,Consider adding preview performance notes or future enhancements,Y,Medium,
TBD,"This document defines how the **Template System** works in Mylo, including both **Template Settings** and **Template Styles**, and explains their interactions.",template-system-spec.md,Add rationale about Template Editors being designers using Figma/InDesign,Y,Low,
TBD,"This document defines how sample content is used within the Template Editor in Mylo. It outlines how content is inserted, stored, and rendered — ensuring it supports design testing while remaining hidden from Contributors.",template-editor-sample-content.md,Add rationale about Template Editors being designers using Figma/InDesign,Y,Low,
TBD,"Contributors write freely using a toolbar with formatting tools. They can choose whether or not to use a Template. Templates enable auto-formatting in the Preview panel, while freeform mode allows their own formatting to persist.",contributor-template-behavior-spec-v2.md,Check AI vs heuristic handling,Y,Medium,
TBD,"This specification outlines the creation of reusable toolbar buttons for Mylo, focusing on maximizing code reuse, improving maintainability, and ensuring consistency across the Contributor, Template Editor, and Admin roles.",reusable-toolbar-components-spec.md,Add rationale about Template Editors being designers using Figma/InDesign,Y,Low,
TBD,This document defines the structure and functionality of the Top Menu Bar in Mylo. It outlines which menu items are active during the MVP and which are deferred for future implementation.,top-menu-behavior-mvp.md,Add rationale about Template Editors being designers using Figma/InDesign,Y,Low,
